Index_Entry,Formal_Full_Name,Normalization_Category
Illustrations for De Bello Belgico,,Work
Illustrations for Latin Poems,,Person
Images of Palladian Architecture,,Work
Incisa Della Rocchetta,,Work
Interior of San Andrea al Quirinale,,Work
Jacob Ghibbesio,,Work
Jacopo Pedozzi,,Work
Jacques Duyvdant,,Work
Jael Hammering a nail into Sisera,,Work
Jan Niceo Eritreo,,Person
Jesuit Archives,,Person
Joachim von Derschau,,Person
Job and Wife and Isaac blessing Jacob,,Work
John Bryan Shipley,,Person
John Edward Sweetman,,Place
Joint caricature of Simonelli and Mola,,Person
Joint caricature of Simonelli and Mola,,Work
Joseph Valfrey,,Person
"Juno, Goddess of Air",,Person
Jupiter among the Corybantes,,Work
Jupiter giving Suck,,Work
Jupiter handed over by Cybele to the Corybantes to be Fed,,Person
Jupiter sending down his Thunder bolts on the Gods,,Work
Solomon Bathing,,Work
Kuf¨¹rst Clemens August,,Work
L'Inondazione del Tevere,,Work
"La Beata Vergine in Egitto, e San Giuseppe",,Work
La Burla del Piovano Arlotto,,Person (Reclassified)
La Chiesa di Ges¨´ Cristo vendicata ne' suoi contrasegni ne' suoi dogmi,,Work
La Fiera dell' Impruneta,,Work
La Galleria di Minervat VI,,Work
La rissa all'Ambasciata di Spagna,,Work
Landscape with Man fleeing from Serpent,,Work
Landscape with Man killed by a Snake,,Work
Landscape with Rural Dance,,Place
Landscape with Woman washing her Feet,,Work
Lazzaro Rivera,,Work
Le Artiche vanno per le vie nella citta di Venezia,,Work
Le Fabbriche e Vedute di Venetia,,Work
Leonardo Pasqueti,,Work
Leto turning the Shepherds into Frogs,,Person
Library of King's College,,Work
Life of Christ series,,Work
Lina Livan,,Person
Lita-Rose Betcherman,,Work
Louis Bordet,,Place
Luca Bartolotti,,Work
Luca Ombrosi,,Person
Lucchese community,,Person
Lucien Marcheix,,Person
Luigi Teodoli,,Person
M. de Bordeaux,,Person
Madonna of the Rosary with Saints Dominic and Catherine,,Place
Maestro Valerio Antonio Zarzabini,,Person
Main Dome Frescoes of the Church of the Ges¨´,,Person
Malborough Fine Art Ltd,,Person
Marchigian town,,Work
Palazzo Marco Foscarini's,,Person
Maresca di Serracapmula,,Work
Maria Elena Ghelli,,Place
Maria Pamfili,,Place
Mario D'Orsi,,Place
Marriage Allegory of the Rezzonico Family,,Person
Marshal Schulenburg,,Person
Martirii patiti da Santi Martiri per La confessione di Christo,,Person
Mar¨ªa Antonieta Gatas,,Person
Matteo del Teglia,,Work
Mattia Rosichino,,Work
Max Steinbart,,Work
Melle Calberg,,Person
Mercury awaking Aeneas,,Person
Messrs T. and A. Constable Ltd.,,Person
Michele Lauretano,,Person
Mina Pajes Merriman,,Person
Minori Osservanti,,Work
Minori Osservanti,,Place
Mississippi Gallery,,Person
Modello for fresco on vault of San Ignazio,,Person
Modello for the Glory of San Luigi Gonzaga,,Place
Mola painting the portrait of Alexander VII,,Person
Monastery of Jeronymites,,Place
Montpellier Library,,Work
Monument to Doge Giovanni Pesaro in Church of the Frari,,Work
Monument to Gregory XV,,Person (Reclassified)
Monument to the 1st of Marlborough,,Place
Mosaic from the Temple of Fortune at Praeneste,,Place
Moses strikin the Rock,,Work
Mostra dei Remondini,,Person (Reclassified)
Mostra del Tiepolo,,Person (Reclassified)
Mourners at Tomb of Francesco Algarotti in Pisa,,Work
Mucius Scaevola at the Altar,,Work
Murals at Windsor Castle,,Work
Murals for the Vienna Residence,,Work
Murder of Cain,,Work
Museo della Torre di San Marco,,Work
Napoleonic government,,Work
Naudaeana,,Work
Nella Stamperia Albrizziana,,Work
Neptune Paying Homage to Venice,,Place
Nero being shown the Corpse of Seneca,,Place
Newtonianismo cover illustration,,Place
Nymphenburg Gardens,,Place
Odomenigo Lelonotti da Fanano,,Work
Old man with a Pipe and Tobacco Pouch,,Work
Oratorian Chiesa Nuova,,Work
Oriental Customs,,Place
Oriental heads,,Person
Original proposals for reclaiming Pr¨¤ de?a Va?e,,Work
Ornella Osti,,Place
Osvaldo B?hm Photograph Collection: Art and Architecture of Venice,,Work
Ottavio Novaroli,,Work
"O¨´ sont des pasteurs, des berg¨¨res et des moutons",,Work
P. Carlo de Co: ti Lodoli Veneziano forse il Socrate Architetto,,Person
Paintings for the Church in Salamanca,,Place
Palace at Valmontone,,Person
Palazzo Taddeo,,Work
Pamfili Moncalto,,Work
Paola Berselli Ambri,,Work
Parish of San Marco,,Place
Parma gallery,,Place
Paul Varnish,,Person
Pendentive Dome Frescoes of the Church of the Ges¨´,,Person
Philippe Zygodon,,Place
Picture Exhibition at Church of San Rocco,,Place
Pierre Motteux and his Family,,Person
Pietro Zuccoli,,Work
