QID,统一英文全名,P31|标签|实例英文
A311,Portrait of King John of Poland,
A312,The Flight into Egypt,
A313,The Presentation of Jesus in the Temple,
A314,Three Portraits of Dogs,
A315,,
A317,Sophronia and Olindo,
A319,Pietà,
A320,Portrait of Pierre Motteux,
A321,Death of St. Francis Xavier,
A324,Sacrifice of Iphigenia,
A325,Jael Hammering a nail into Sisera,
A326,La Burla del Piovano Arlotto,
A327,St. Romualdo,
A328,S. Gerolamo nel Deserto,
A329,Tavole Barberini,
A330,Rape of the Sabines,
A331,,
A332,Diana and Endymion,
A333,Education of the Virgin,
A334,Monument to Doge Giovanni Pesaro in Church of the Frari,
A335,St. Philip Neri and the Virgin,
A336,Esther,
A337,Finding of Romulus and Remus,
A338,Lot and his Daughters,
A339,Equestrian Statue of Henry IV,
A340,Judith with the Head of Holofernes,
A341,Judith with the head of Holofernes,
A342,Samson killing a thousand with a jawbone,
A343,Romulus and Remus,
A344,Potiphar,
A345,Susanna and the Elders,
A346,Il Frappatore,
A347,Portrait of Ottaviano Prati,
A348,Jupiter handed over by Cybele to the Corybantes to be Fed,
A349,Family of Darius before Alexander the Great,
A350,Portrait of John Law,
A351,Neptune Paying Homage to Venice,
A353,Statue of Field Marshal Schulenburg,
A354,St Stanislas Kostka,
A355,Joint caricature of Simonelli and Mola,
A357,St. Peter receiving the Keys,
A358,Fresco on staircase of Hampton Court Palace,
A359,St. Domitilla,
A360,Raccolta di centododici stampe,
A361,St. John the Baptist,
A362,Marshal Schulenburg,
A363,Maecenas,
A364,Dance of Nymphs,
A365,Portrait of Teodoro Correr,
A366,Idyll,
A367,St. William of Aquitaine,
A368,Diana and Actaeon,
A369,Oriental heads,
A370,Marcello Sacchetti,
A371,Le Artiche vanno per le vie nella citta di Venezia,
A372,The Adoration of the Lamb,
A373,Mercury,
A374,Girl at Her Toilet,
A375,Fame Carrying the Name of Louis XIV to the Temple of Immortality,
A376,Pierre Motteux and his Family,
A377,Monument to Pope Gregory XV,
A378,St. Mark,
A379,Madonna of the Rosary with Saints Dominic and Catherine,
A380,Mourners at Tomb of Francesco Algarotti in Pisa,
A381,Girl with a Basket of Chickens,
A382,Gypsy Woman with Soldiers,
A383,Deianira and Nessus,
A384,Flight into Egypt,
A385,Glory of Venice,
A386,Portrait of the Queen of Prussia,
A387,"Entry of the Count of Colloredo, the Imperial ambassador",
A388,Europa,
A389,Rape of Europa,
A391,Landscape with figures and animals,
A392,Le Fabbriche e Vedute di Venetia,
A394,L'Inondazione del Tevere,
A395,Solomon,
A396,Portrait of Donna Olimpia,
A397,Fame inscribing the glories of Louis XIV on the shoulders of Time,
A398,Fortune under the control of Virtue,
A399,Mucius Scaevola at the Altar,
A400,St. Helen finding the True Cross,
A401,Glorification of the Pisani family,
A402,Rebecca and Eliezer,
A403,Portrait of Field Marshal Schulenburg,
A404,Temperance,
A405,Portrait of a Cook,
A406,Old Woman with Glasses,
A407,Romulm and Remus,
A408,Tempest with Pyramus and Thisbe,
A409,Socrates,
A410,God creating the Angels and Parnassus with Apollo and the Muses,
A411,Hermit,
A412,King George I,
A413,Fortitude,
A414,Justice Embracing Peace,
A415,Elijah carried to Heaven in a Chariot of Fire,
A416,Aeneid,
A417,Beatae Mariae Virginis Officium,
A418,Bell Towers for St. Peter's Basilica (demolished),
A419,Boyle/Locke/Sydenham,
A420,Bust of Phocion,
A421,Caprizi Copiosi di Figure,
A422,Castle of Cogolo,
A423,Ceiling of Palazzo Doria-Pamphili,
A424,Ceiling Paintings at Hampton Court,
A425,Ceremonies of the Grand Duke,
A426,Copy of Annibale Carracci's Works,
A427,Copy of Raphael's Loggias,
A428,Daphnis and Chloe,
A429,"Divine Virtues, Faith, Hope, Charity and Wisdom",
A430,Drawings of Sagredo Family Members,
